kanjiID,kanji,authorsNote,kunyomiReadingOne,kunyomiReadingTwo,kunyomiReadingThree,kunyomiVocabWordOne,kunyomiVocabWordReadingOne,kunyomiVocabWordMeaningOne,kunyomiSampleSentenceOne,kunyomiSampleSentenceMeaningOne,kunyomiVocabWordTwo,kunyomiVocabWordReadingTwo,kunyomiVocabWordMeaningTwo,kunyomiSampleSentenceTwo,kunyomiSampleSentenceMeaningTwo,kunyomiVocabWordThree,kunyomiVocabWordReadingThree,kunyomiVocabWordMeaningThree,kunyomiSampleSentenceThree,kunyomiSampleSentenceMeaningThree,kunyomiVocabWordFour,kunyomiVocabWordReadingFour,kunyomiVocabWordMeaningFour,kunyomiSampleSentenceFour,kunyomiSampleSentenceMeaningFour,kunyomiVocabWordFive,kunyomiVocabWordReadingFive,kunyomiVocabWordMeaningFive,kunyomiSampleSentenceFive,kunyomiSampleSentenceMeaningFive,kunyomiVocabWordSix,kunyomiVocabWordReadingSix,kunyomiVocabWordMeaningSix,kunyomiSampleSentenceSix,kunyomiSampleSentenceMeaningSix,kunyomiMultipleChoiceReadingOne,kunyomiMultipleChoiceReadingTwo,kunyomiMultipleChoiceReadingThree,kunyomiMultipleChoiceReadingFour,kunyomiMultipleChoiceReadingFive,kunyomiMultipleChoiceReadingSix,furiganaKunyomiSampleSentenceOne,furiganaKunyomiSampleSentenceTwo,furiganaKunyomiSampleSentenceThree,furiganaKunyomiSampleSentenceFour,furiganaKunyomiSampleSentenceFive,furiganaKunyomiSampleSentenceSix,associatedLevel
1,一,None,ひと,None,None,一つ,ひとつ,One thing,ブラックコーヒーを一つください。,"One black coffee, please.",一日,ついたち,The first,二月一日はお休みです。(As in the first of the month.),February 1st is a holiday.,,,,,,,,,,,,,,,,,,,,,"ひと,にち,いち,つき",,,,,,[{'一': 'ひと'}],"[{'二月': 'にがつ'}, {'一日': 'ついたち'}, {'休': 'やす'}]",,,,,1
2,日,None,ひ,か,び,日,ひ,Day,とてもいい日だった。,It was a very nice day,二日,ふつか,"Two days, The second, The 2nd",二月二日は誕生日。,My birthday is on February 2nd,今日,きょう,Today,"今日は忙しかった。(This is an irregular reading or Jukujikun, we will try to call these out as they occur. This word is super important, so memorize it!)",I was busy today.,,,,,,,,,,,,,,,,"ひ,び,じつ,か","か,ひ,にち,じつ","きょう,ひ,にち,じつ",,,,[{'日': 'ひ'}],"[{'二月': 'にがつ'}, {'二日': 'ふつか'}, {'誕生日': 'たんじょうび'}]","[{'今日': 'きょう'}, {'忙': 'いそが'}]",,,,1
3,人,None,ひと,り,と,人,ひと,"Person, Man, Individual",あの人は優しいです。,That person is kind.,一人,ひとり,"Alone, One person","私は一人でいます。(It is read as ""ri"" only in the cases of ""hitori"" - ""one person"" and ""futari"" - ""two people"")",I am alone.,,,,,,,,,,,,,,,,,,,,,"ひと,びと,にん,じん",,,,,,"[{'人': 'ひと'}, {'優': 'やさ'}]","[{'私': 'わたし'}, {'一人': 'ひとり'}]",,,,,1
4,月,None,つき,None,None,月,つき,"Moon,Month",月がきれい,The moon is beautiful,ひと月,ひとつき,One month,誕生日まで、あとひと月です。,It's one month until my birthday.,,,,,,,,,,,,,,,,,,,,,"つき,げつ,む,にち","つき,づき,げつ,がつ",,,,,[{'月': 'つき'}],"[{'誕': 'たん'}, {'生': 'じょう'}, {'日': 'び'}, {'月': 'つき'}]",,,,,1
5,雨,None,あめ,あま,None,雨,あめ,Rain,今日は雨です。,"Today, it’s raining.",雨戸//ど//,あまど,Rain shutter,夜は雨戸を閉める。,I close the rain shutters at night.,,,,,,,,,,,,,,,,,,,,,"あめ,ゆき,みず,かわ","あま,う,め,あみ",,,,,"[{'今日': 'きょう'}, {'雨': 'あめ'}]","[{'夜': 'よる'}, {'雨戸': 'あまど'}, {'閉': 'し'}]",,,,,1
6,大,None,おお,None,None,大きい,おおきい,"Big, Large",大きな夢を持っています。,I have a big dream.,大人,おとな,Adult,"いつか、大人になりたいです。(Irregular Reading, but very common)","Someday, I want to become an adult",,,,,,,,,,,,,,,,,,,,,"おお, ごお, き, だい",,,,,,"[{'大': 'おお'}, {'夢': 'ゆめ'}, {'持': 'も'}]",[{'大人': 'おとな'}],,,,,1
7,十,None,とお,None,None,十日,とおか,"The tenth, Ten days",十日に旅行に行きます。,I'm going on a trip on the tenth.,十日間//かん//,とおかかん,Ten days,彼女は十日間ずっと忙しかった。,She was busy for ten days straight.,,,,,,,,,,,,,,,,,,,,,"とお,じゅう,ひち,と","とお,じゅう,ひち,と",,,,,"[{'十日': 'とおか'}, {'旅行': 'りょこう'}, {'行': 'い'}]","[{'彼女': 'かのじょ'}, {'十日間': 'とおかかん'}, {'忙': 'いそが'}]",,,,,1
8,二,None,ふつ,ふた,None,二つ,ふたつ,Two things,おにぎりを二つ食べました。,I ate two rice balls.,二人,ふたり,Two people,公園を二人で散歩しました。,Two of us went for a walk in the park.,,,,,,,,,,,,,,,,,,,,,"ふた, み, つ, よん","ふた,に,むい,はつ",,,,,"[{'二': 'ふた'}, {'食': 'た'}]","[{'公園': 'こうえん'}, {'二人': 'ふたり'}, {'散歩': 'さんぽ'}]",,,,,1
9,本,None,もと,None,None,山//やま//本,やまもと,Yamamoto,あの人が山本さんです。(Yamamoto is a common Japanese surname.),That is Mr.Yamamoto.,,,,,,,,,,,,,,,,,,,,,,,,,,"もと,ほん,き,ぼん",,,,,,"[{'人': 'ひと'}, {'山本': 'やまもと'}]",,,,,,1
10,中,None,なか,None,None,中,なか,"Middle, Inside",箱の中に本があります。,There is a book inside the box.,真//ま//ん中,まんなか,"Center, Middle",部屋の真ん中にテーブルがあります,There is a table in the middle of the room.,,,,,,,,,,,,,,,,,,,,,"なか,ばか,じゅう,たか","なか,たか,さか,はか",,,,,"[{'箱': 'はこ'}, {'中': 'なか'}, {'本': 'ほん'}]","[{'部屋': 'へや'}, {'真': 'ま'}, {'中': 'なか'}]",,,,,1
