kanjiID,kanji,authorsNote,onyomiReadingOne,onyomiReadingTwo,onyomiReadingThree,onyomiVocabWordOne,onyomiVocabWordReadingOne,onyomiVocabWordMeaningOne,onyomiSampleSentenceOne,onyomiSampleSentenceMeaningOne,onyomiVocabWordTwo,onyomiVocabWordReadingTwo,onyomiVocabWordMeaningTwo,onyomiSampleSentenceTwo,onyomiSampleSentenceMeaningTwo,onyomiVocabWordThree,onyomiVocabWordReadingThree,onyomiVocabWordMeaningThree,onyomiSampleSentenceThree,onyomiSampleSentenceMeaningThree,onyomiVocabWordFour,onyomiVocabWordReadingFour,onyomiVocabWordMeaningFour,onyomiSampleSentenceFour,onyomiSampleSentenceMeaningFour,onyomiVocabWordFive,onyomiVocabWordReadingFive,onyomiVocabWordMeaningFive,onyomiSampleSentenceFive,onyomiSampleSentenceMeaningFive,onyomiVocabWordSix,onyomiVocabWordReadingSix,onyomiVocabWordMeaningSix,onyomiSampleSentenceSix,onyomiSampleSentenceMeaningSix,onyomiMultipleChoiceReadingOne,onyomiMultipleChoiceReadingTwo,onyomiMultipleChoiceReadingThree,onyomiMultipleChoiceReadingFour,onyomiMultipleChoiceReadingFive,onyomiMultipleChoiceReadingSix,furiganaOnyomiSampleSentenceOne,furiganaOnyomiSampleSentenceTwo,furiganaOnyomiSampleSentenceThree,furiganaOnyomiSampleSentenceFour,furiganaOnyomiSampleSentenceFive,furiganaOnyomiSampleSentenceSix,associatedLevel
1,一,None,いち,None,None,一,いち,"One, 1",今日はいい一日でした。,Today was a good day,,,,,,,,,,,,,,,,,,,,,,,,,,"いち,い,つ,ちょ",,,,,,"[{'今日': 'きょう'}, {'一日': 'いちにち'}]",,,,,,1
2,日,None,にち,じつ,None,一日,いちにち,One day,一日中、雨です。,It's raining all day.,元//がん//日,がんじつ,New Year's Day,一月一日は元日です。(The character '一日' meaning the first day of the month is read as 'tsuitachi.'),January 1st is New Year's Day.,,,,,,,,,,,,,,,,,,,,,"にち,つい,びち,いつ",,,,,,"[{'一日中': 'いちにちじゅう'}, {'雨': 'あめ'}]","[{'一月': 'いちがつ'}, {'一日': 'ついたち'}, {'元日': 'がんじつ'}]",,,,,1
3,人,None,じん,にん,None,日本人,にほんじん,Japanese Person,彼は日本人ですか？,Is he Japanese?,アメリカ人,アメリカじん,American person,彼はアメリカ人ですが、日本語がとても上手です。,"He is American, but his Japanese is really good. (IYKYK)",三//さん//人,さんにん,Three people,わたしたちは三人います。,There are three of us.,,,,,,,,,,,,,,,,"じん, にん, しん, ぜん","じん,にん,ひと,りん",,,,,"[{'彼': 'かれ'}, {'日本人': 'にほんじん'}]","[{'彼': 'かれ'},{'人': 'じん'}, {'日本語': 'にほんご'}, {'上手': 'じょうず'}]",[{'三人': 'さんにん'}],,,,1
4,月,None,げつ,がつ,None,月曜//よう//日,げつようび,Monday,今日は月曜日です。,Today is Monday.,一月,いちがつ,January,一月は寒いです。,January is cold.,,,,,,,,,,,,,,,,,,,,,"げつ,けつ,げっ,くつ","がつ,ごつ,こつ,ちょう",,,,,"[{'今日': 'きょう'}, {'月曜日': 'げつようび'}]","[{'一月': 'いちがつ'}, {'寒': 'さむ'}]",,,,,1
5,雨,None,う,None,None,雨天//てん//,うてん,Rainy weather,雨天のため、今日の試合は中止です。,"Due to rainy weather, today’s game is canceled.",,,,,,,,,,,,,,,,,,,,,,,,,,"う,あめ,あま,うか",,,,,,"[{'雨天': 'うてん'}, {'今日': 'きょう'}, {'試合': 'しあい'}, {'中止': 'ちゅうし'}]",,,,,,1
6,大,None,だい,たい,None,大学,だいがく,University,彼は大学生です。,He is a university student.,大した,たいした,"Great, Big",大したことない,It's not a big deal.,,,,,,,,,,,,,,,,,,,,,"だい,いっぱい,た,てい","たい,だい,た,てい",,,,,"[{'彼': 'かれ'}, {'大学生': 'だいがくせい'}]",[{'大': 'たい'}],,,,,1
7,十,None,じゅう,None,None,十人,じゅうにん,Ten people,このクラスには十人います。,This class has ten people.,十回//かい//,じゅっかい,Ten times,私はこのゲームを十回しました。,I played this game ten times.,,,,,,,,,,,,,,,,,,,,,"じゅう,じょ,じゅうご,じゅじゅ","じゅっ,じょ,しゅう,ちゅう",,,,,"[{'十': 'じゅう'},{'人': 'にん'}]","[{'私': 'わたし'}, {'十回': 'じゅっかい'}]",,,,,1
8,二,None,に,None,None,二,に,"Two, 2",バナナを二本ください。,Please give me two bananas.,,,,,,,,,,,,,,,,,,,,,,,,,,"に,じ,り,さん",,,,,,"[{'二': 'に'}, {'本': 'ほん'}]",,,,,,1
9,本,None,ほん,None,None,本,ほん,Book,本屋で本を買います。,I buy books at the bookstore.,日本,にほん,Japan,私は日本に行きたいです。,I want to go to Japan.,本日,ほんじつ,Today,本日、店は休みです。,The store is closed today.,,,,,,,,,,,,,,,,"ほん, もん, ほんき, ほんせん","ほん,もと,ばん,はん","ほん,ぽん,もう,ぼん",,,,"[{'本屋': 'ほんや'}, {'本': 'ほん'}, {'買': 'か'}]","[{'私': 'わたし'}, {'日本': 'にほん'}, {'行': 'い'}]","[{'本日': 'ほんじつ'}, {'店': 'みせ'}, {'休': 'やす'}]",,,,1
10,中,None,ちゅう,None,None,中,ちゅう,"While, During",休み中、よく寝た。,"During the break, I slept a lot.",,,,,,,,,,,,,,,,,,,,,,,,,,"ちゅう,じゅう,しゅう,ちょう",,,,,,"[{'休': 'やす'}, {'中': 'ちゅう'}, {'寝': 'ね'}]",,,,,,1
